Name in English,Number of speakers,Degree of endangerment
Upper Umpqua,0,Extinct
Uruava,0,Extinct
Urupá,0,Extinct
Ventureño,0,Extinct
Vilela,0,Extinct
Wanai,0,Critically endangered
Wangkumara,0,Critically endangered
Wappo,0,Extinct
Western Mansi,0,Extinct
Wiyot,0,Extinct
Xakriabá,0,Extinct
Yaaku,0,Extinct
Yameo,0,Extinct
Yir Yoront,0,Extinct
Yoba,0,Extinct
Yola,0,Extinct
Yug,0,Extinct
Yuki,0,Extinct
Yurats,0,Extinct
Yurutí (Brazil),0,Extinct
Zeem,0,Extinct
|'Auni,0,Extinct
|Xam,0,Extinct
ǁKu ǁ'e,0,Extinct
ǁKx'au,0,Extinct
ǁXegwi,0,Extinct
